"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000255689.1",8.360416,-0.1779517,0.4028521,-0.4417297,0.6586848,0.9743973
"ENSG00000166922.7",184.1283,-0.12084,0.2735999,-0.4416669,0.6587303,0.9743973
"ENSG00000205236.6",0.1312451,-0.6247428,1.414585,-0.4416438,0.658747,NA
"ENSG00000221990.4",174.3623,0.09520766,0.2155848,0.4416251,0.6587605,0.9743973
"ENSG00000143971.7",469.4516,-0.05432887,0.1230333,-0.4415786,0.6587942,0.9743973
"ENSG00000248015.5",24.17055,-0.1665481,0.3771892,-0.4415504,0.6588146,0.9743973
"ENSG00000258136.1",4.599965,-0.1185057,0.2684267,-0.4414824,0.6588638,0.9743973
"ENSG00000133101.8",1.200842,0.1936463,0.438653,0.4414567,0.6588824,NA
"ENSG00000233538.1",0.491248,0.2462615,0.5579868,0.4413393,0.6589674,NA
"ENSG00000235961.5",801.375,-0.1813013,0.4109121,-0.4412168,0.659056,0.9743973
"ENSG00000170748.6",1.210529,0.24892,0.5642493,0.4411526,0.6591025,NA
"ENSG00000251883.1",0.1194181,0.519887,1.178483,0.4411493,0.6591049,NA
"ENSG00000165821.10",201.309,0.1870782,0.4240757,0.4411433,0.6591093,0.9743973
"ENSG00000259966.4",0.2142293,0.654896,1.484567,0.4411361,0.6591145,NA
"ENSG00000136819.13",2558.258,0.0502597,0.1139349,0.4411263,0.6591216,0.9743973
"ENSG00000121057.11",4148.514,0.05285452,0.1198321,0.4410713,0.6591614,0.9743973
"ENSG00000203585.3",1.315085,-0.2868157,0.6502787,-0.4410657,0.6591654,NA
"ENSG00000279459.1",6.261328,-0.1142952,0.2591348,-0.4410648,0.6591661,0.9743973
"ENSG00000255883.1",9.378281,0.1008064,0.2285534,0.4410629,0.6591675,0.9743973
"ENSG00000233260.1",0.5321598,0.2239722,0.5078272,0.4410401,0.6591839,NA
"ENSG00000225345.3",7.071699,-0.2443101,0.5539438,-0.4410377,0.6591857,0.9743973
"ENSG00000182022.16",1477.868,0.09058471,0.2053928,0.4410316,0.6591901,0.9743973
"ENSG00000202111.1",0.7815235,-0.3992273,0.905369,-0.4409553,0.6592454,NA
"ENSG00000233343.1",0.175566,0.3629607,0.823192,0.4409186,0.6592719,NA
"ENSG00000005302.16",617.4277,-0.04204913,0.0953685,-0.4409121,0.6592766,0.9743973
"ENSG00000250427.1",0.2481719,-0.4361056,0.9891885,-0.4408721,0.6593056,NA
"ENSG00000230124.5",1497.894,-0.07104713,0.1611633,-0.4408394,0.6593293,0.9743973
"ENSG00000238279.1",3.269917,-0.2118383,0.480539,-0.4408348,0.6593326,0.9743973
"ENSG00000165813.15",394.6469,-0.07449756,0.1690123,-0.4407818,0.659371,0.9743973
